date_monday,year_iso,week_iso_num,geo_level,geo_code,geo_name,classe_d_age,taux_passages_urgences,taux_hosp,taux_sos,topic
2020-03-02,2020,10,FR,FR,France,Tous âges,616.63741859,1043.3303243,302.85424676,COVID
2020-03-02,2020,10,FR,FR,France,Tous âges,5207.0833536,8768.4882994,17610.047344,IRA
2020-03-09,2020,11,FR,FR,France,0-1 an,708.73342478,1568.3104285,356.29885475,RSV
2020-03-09,2020,11,FR,FR,France,00-04 ans,864.96387504,1593.3027275,1224.9114522,COVID
2020-03-09,2020,11,FR,FR,France,00-04 ans,10481.326956,18201.458277,15333.530106,IRA
2020-03-09,2020,11,FR,FR,France,05-14 ans,900.36946195,1862.0397799,2023.229674,COVID
2020-03-09,2020,11,FR,FR,France,05-14 ans,4290.7261945,5035.971223,18171.59985,IRA
2020-03-09,2020,11,FR,FR,France,15-64 ans,3035.3924564,4543.6160173,3590.4007937,COVID
2020-03-09,2020,11,FR,FR,France,15-64 ans,6662.4894223,9096.2203946,20422.083962,IRA
2020-03-09,2020,11,FR,FR,France,65 ans ou plus,2440.9805768,3784.965694,1920.0538962,COVID
2020-03-09,2020,11,FR,FR,France,65 ans ou plus,8782.2994037,13330.317424,17886.817876,IRA
2020-03-09,2020,11,FR,FR,France,Tous âges,2426.4045395,3861.7923238,2814.9740983,COVID
2020-03-09,2020,11,FR,FR,France,Tous âges,7239.0474034,11585.376971,18980.304956,IRA
2020-03-16,2020,12,FR,FR,France,0-1 an,821.48337596,1481.4814815,399.90962494,RSV
2020-03-16,2020,12,FR,FR,France,00-04 ans,2115.4275508,3936.1702128,5859.8988961,COVID
2020-03-16,2020,12,FR,FR,France,00-04 ans,10694.351418,19964.539007,16795.625709,IRA
2020-03-16,2020,12,FR,FR,France,05-14 ans,1708.4984588,2931.1520109,10518.982933,COVID
2020-03-16,2020,12,FR,FR,France,05-14 ans,5900.4843681,6543.9672802,21786.833856,IRA
2020-03-16,2020,12,FR,FR,France,15-64 ans,12382.377259,15297.21634,18196.415622,COVID
2020-03-16,2020,12,FR,FR,France,15-64 ans,16673.884799,21096.937458,27589.868435,IRA
2020-03-16,2020,12,FR,FR,France,65 ans ou plus,10166.435506,14080.828649,10422.343324,COVID
2020-03-16,2020,12,FR,FR,France,65 ans ou plus,16782.246879,23367.712806,20912.80654,IRA
2020-03-16,2020,12,FR,FR,France,Tous âges,10079.251134,13617.490593,14506.265983,COVID
2020-03-16,2020,12,FR,FR,France,Tous âges,15382.760007,21675.100558,24460.363093,IRA
2020-03-23,2020,13,FR,FR,France,0-1 an,630.36401302,1185.6033874,250.48923679,RSV
2020-03-23,2020,13,FR,FR,France,00-04 ans,2878.2227988,5503.2226078,6264.7289866,COVID
2020-03-23,2020,13,FR,FR,France,00-04 ans,8756.2834441,17203.767972,13256.087981,IRA
2020-03-23,2020,13,FR,FR,France,05-14 ans,2512.0440468,2730.1092044,14374.295378,COVID
2020-03-23,2020,13,FR,FR,France,05-14 ans,5173.2048635,6240.24961,20293.122886,IRA
2020-03-23,2020,13,FR,FR,France,15-64 ans,23248.742837,30049.931911,28205.277737,COVID
2020-03-23,2020,13,FR,FR,France,15-64 ans,26348.770124,34198.819791,32246.68319,IRA
2020-03-23,2020,13,FR,FR,France,65 ans ou plus,21609.257266,28816.80914,17396.785377,COVID
2020-03-23,2020,13,FR,FR,France,65 ans ou plus,26356.745605,34968.442918,23405.819939,IRA
2020-03-23,2020,13,FR,FR,France,Tous âges,20245.807134,27756.268986,23172.6579,COVID
2020-03-23,2020,13,FR,FR,France,Tous âges,23963.22402,33186.411738,27991.017907,IRA
2020-03-30,2020,14,FR,FR,France,0-1 an,329.5202322,612.06896552,200.73956683,RSV
2020-03-30,2020,14,FR,FR,France,00-04 ans,1937.0680247,3633.1149494,5972.1843469,COVID
2020-03-30,2020,14,FR,FR,France,00-04 ans,5138.2320844,10601.548541,9899.1000818,IRA
2020-03-30,2020,14,FR,FR,France,05-14 ans,2610.3980857,4948.3013294,13639.387891,COVID
2020-03-30,2020,14,FR,FR,France,05-14 ans,4633.4566021,8714.9187592,17398.536261,IRA
2020-03-30,2020,14,FR,FR,France,15-64 ans,19840.238175,25263.715621,23725.436306,COVID
2020-03-30,2020,14,FR,FR,France,15-64 ans,21721.947333,28409.036174,26116.531538,IRA
2020-03-30,2020,14,FR,FR,France,65 ans ou plus,19571.699648,26288.452247,13059.163059,COVID
2020-03-30,2020,14,FR,FR,France,65 ans ou plus,22948.856962,30769.850217,17068.64564,IRA
2020-03-30,2020,14,FR,FR,France,Tous âges,17544.134022,24474.100882,19341.329182,COVID
2020-03-30,2020,14,FR,FR,France,Tous âges,19938.819172,28450.988053,22288.245226,IRA
2020-04-06,2020,15,FR,FR,France,0-1 an,160.11885111,353.66931919,72.99270073,RSV
2020-04-06,2020,15,FR,FR,France,00-04 ans,1361.6602412,2901.124926,4005.6417489,COVID
2020-04-06,2020,15,FR,FR,France,00-04 ans,2887.3759331,6394.3161634,7193.2299013,IRA
2020-04-06,2020,15,FR,FR,France,05-14 ans,1610.4363473,2479.8927614,7620.7513417,COVID
2020-04-06,2020,15,FR,FR,France,05-14 ans,2636.0773729,4021.4477212,10089.445438,IRA
2020-04-06,2020,15,FR,FR,France,15-64 ans,13641.022423,16930.875118,15556.071511,COVID
2020-04-06,2020,15,FR,FR,France,15-64 ans,14859.437751,19047.855688,17235.508088,IRA
2020-04-06,2020,15,FR,FR,France,65 ans ou plus,14383.967495,20195.068235,9111.2239716,COVID
2020-04-06,2020,15,FR,FR,France,65 ans ou plus,17092.73289,23884.060251,12361.604876,IRA
2020-04-06,2020,15,FR,FR,France,Tous âges,12146.321503,17704.998769,12533.516836,COVID
2020-04-06,2020,15,FR,FR,France,Tous âges,13798.726697,20672.248215,14756.899129,IRA
2020-04-13,2020,16,FR,FR,France,0-1 an,103.6695738,155.39305302,68.565400844,RSV
2020-04-13,2020,16,FR,FR,France,00-04 ans,1121.8724778,2151.8230723,2788.1040892,COVID
2020-04-13,2020,16,FR,FR,France,00-04 ans,2251.8159806,4423.1918709,5310.6744557,IRA
2020-04-13,2020,16,FR,FR,France,05-14 ans,1151.3432338,1147.3429952,5543.9330544,COVID
2020-04-13,2020,16,FR,FR,France,05-14 ans,1827.1316536,2294.6859903,7496.5132497,IRA
2020-04-13,2020,16,FR,FR,France,15-64 ans,9320.5806096,11286.129378,10851.29843,COVID
2020-04-13,2020,16,FR,FR,France,15-64 ans,10189.249331,13044.808075,12307.516824,IRA
2020-04-13,2020,16,FR,FR,France,65 ans ou plus,9982.587276,14512.396694,5943.7431667,COVID
2020-04-13,2020,16,FR,FR,France,65 ans ou plus,12333.30502,18037.190083,8885.7966405,IRA
2020-04-13,2020,16,FR,FR,France,Tous âges,8327.9725686,12261.649734,8640.0556974,COVID
2020-04-13,2020,16,FR,FR,France,Tous âges,9614.5560992,14925.658048,10575.539568,IRA
2020-04-20,2020,17,FR,FR,France,0-1 an,85.850068987,175.74692443,59.77286312,RSV
2020-04-20,2020,17,FR,FR,France,00-04 ans,847.19890093,1773.4553776,2422.4519941,COVID
2020-04-20,2020,17,FR,FR,France,00-04 ans,1778.3544497,3775.7437071,4431.3146233,IRA
2020-04-20,2020,17,FR,FR,France,05-14 ans,860.66527099,1570.0483092,4462.0367039,COVID
2020-04-20,2020,17,FR,FR,France,05-14 ans,1364.6584477,2717.3913043,6369.1975531,IRA
2020-04-20,2020,17,FR,FR,France,15-64 ans,6759.263756,8237.3782108,8178.1376518,COVID
2020-04-20,2020,17,FR,FR,France,15-64 ans,7478.0243796,9541.3837221,9243.5542297,IRA
2020-04-20,2020,17,FR,FR,France,65 ans ou plus,7541.8100344,10946.885868,5106.428725,COVID
2020-04-20,2020,17,FR,FR,France,65 ans ou plus,9772.3453629,14389.029402,7880.0258009,IRA
2020-04-20,2020,17,FR,FR,France,Tous âges,6119.7574674,9180.0938201,6669.2278141,COVID
2020-04-20,2020,17,FR,FR,France,Tous âges,7260.8902177,11607.179278,8280.1895249,IRA
2020-04-27,2020,18,FR,FR,France,0-1 an,71.407752842,138.64818024,42.633822833,RSV
2020-04-27,2020,18,FR,FR,France,00-04 ans,881.47446638,1192.5042589,2188.5103208,COVID
2020-04-27,2020,18,FR,FR,France,00-04 ans,1755.6640198,2782.5099375,3829.8930614,IRA
2020-04-27,2020,18,FR,FR,France,05-14 ans,981.71166178,1149.4252874,3766.0747091,COVID
2020-04-27,2020,18,FR,FR,France,05-14 ans,1504.2356108,1996.3702359,5174.5254133,IRA
2020-04-27,2020,18,FR,FR,France,15-64 ans,5392.0167667,6298.2919886,6609.3645747,COVID
2020-04-27,2020,18,FR,FR,France,15-64 ans,6036.0102887,7792.801952,7700.4592017,IRA
2020-04-27,2020,18,FR,FR,France,65 ans ou plus,6184.8341232,8782.8047013,3438.9227938,COVID
2020-04-27,2020,18,FR,FR,France,65 ans ou plus,8311.6113744,12123.651586,6180.3739223,IRA
2020-04-27,2020,18,FR,FR,France,Tous âges,4966.0940574,7220.7965617,5226.1097089,COVID
2020-04-27,2020,18,FR,FR,France,Tous âges,6031.6308923,9653.4601823,6784.449024,IRA
2020-05-04,2020,19,FR,FR,France,0-1 an,54.666146037,96.852300242,56.232427366,RSV
2020-05-04,2020,19,FR,FR,France,00-04 ans,634.11126365,1264.4889357,1894.5834345,COVID
2020-05-04,2020,19,FR,FR,France,00-04 ans,1294.3714454,2370.9167545,3327.6657761,IRA
2020-05-04,2020,19,FR,FR,France,05-14 ans,911.52473228,1350.6212858,3755.733945,COVID
2020-05-04,2020,19,FR,FR,France,05-14 ans,1262.1111678,1674.7703944,5045.8715596,IRA
2020-05-04,2020,19,FR,FR,France,15-64 ans,4072.2843485,4833.0191871,5755.6147697,COVID
2020-05-04,2020,19,FR,FR,France,15-64 ans,4647.4706551,6181.4315403,6737.7236391,IRA
2020-05-04,2020,19,FR,FR,France,65 ans ou plus,4593.8676708,6648.652763,3017.6106616,COVID
2020-05-04,2020,19,FR,FR,France,65 ans ou plus,6797.5614129,10237.479068,5625.8924322,IRA
2020-05-04,2020,19,FR,FR,France,Tous âges,3710.2482243,5512.7269859,4587.5477635,COVID
2020-05-04,2020,19,FR,FR,France,Tous âges,4723.9339718,7975.3149707,6017.0824904,IRA
2020-05-11,2020,20,FR,FR,France,0-1 an,63.265580832,164.5021645,45.897877223,RSV
2020-05-11,2020,20,FR,FR,France,00-04 ans,759.49367089,436.919716,2572.8987993,COVID
2020-05-11,2020,20,FR,FR,France,00-04 ans,1445.7028648,1966.138722,3744.9971412,IRA
2020-05-11,2020,20,FR,FR,France,05-14 ans,975.26319189,1113.4676564,5445.3887315,COVID
2020-05-11,2020,20,FR,FR,France,05-14 ans,1240.0697539,1325.5567338,6578.5332074,IRA
2020-05-11,2020,20,FR,FR,France,15-64 ans,2993.2624292,3513.9851894,6514.8665413,COVID
2020-05-11,2020,20,FR,FR,France,15-64 ans,3527.5635533,4792.2267818,7459.2820841,IRA
2020-05-11,2020,20,FR,FR,France,65 ans ou plus,3528.4987497,5420.8692463,3294.6344525,COVID
2020-05-11,2020,20,FR,FR,France,65 ans ou plus,5513.4948694,8589.7671007,5825.7504445,IRA
2020-05-11,2020,20,FR,FR,France,Tous âges,2831.5343099,4317.1671106,5338.0438465,COVID
2020-05-11,2020,20,FR,FR,France,Tous âges,3762.0470316,6553.3561998,6681.0240527,IRA
2020-05-18,2020,21,FR,FR,France,0-1 an,45.227326827,105.50113037,28.08988764,RSV
2020-05-18,2020,21,FR,FR,France,00-04 ans,919.79612162,950.47523762,2021.3754647,COVID
