geo_code,geo_name,taux_passages_bronchio_sau,taux_hospit_bronchio_sau,taux_actes_bronchio_sos,year,population,pop_lt1,taux_passages_bronchio_sau_popnorm,taux_hospit_bronchio_sau_popnorm,taux_actes_bronchio_sos_popnorm,couv_dose1,couv_complet,couv_rappel,port_du_masque,lavage_des_mains,eviter_les_regrupements,gm_workplaces,score_mnp,tmean,tmean,tmean_szn_pct,tmean_szn_quintile,rsv_pos_pct,geo_level
3,Guyane,607.73480663,909.09090909,,2020,,,,,,,,,,,,,,,,,,,REG
6,Mayotte,2835.8208955,3030.3030303,,2020,,,,,,,,,,,,,,,,,,,REG
76,Occitanie,1387.4788494,3435.5828221,537.6344086,2020,,,,,,,,,,,,,,5.105714285714286,7.628571428571428,87.5,4.0,,REG
53,Bretagne,814.47963801,2105.2631579,566.03773585,2020,,,,,,,,,,,,,,4.6571428571428575,7.921428571428572,87.5,4.0,,REG
2,Martinique,,,0.0,2020,,,,,,,,,,,,,,,,,,,REG
11,Île-de-France,659.71525968,1708.9678511,295.42097489,2020,,,,,,,,,,,,,,7.142857142857143,11.05,87.5,4.0,,REG
27,Bourgogne et Franche-Comté,1039.1061453,2276.4227642,209.20502092,2020,,,,,,,,,,,,,,4.514285714285714,7.364285714285714,87.5,4.0,,REG
44,Grand Est,1059.3220339,2305.3892216,514.46945338,2020,,,,,,,,,,,,,,8.212857142857143,10.562857142857142,75.0,4.0,,REG
94,Corse,823.52941176,2500.0,1250.0,2020,,,,,,,,,,,,,,6.714285714285714,9.7,75.0,4.0,,REG
32,Hauts-de-France,803.70189966,1666.6666667,409.41658137,2020,,,,,,,,,,,,,,5.928571428571429,11.071428571428571,75.0,4.0,,REG
2,Martinique,,,588.23529412,2020,,,,,,,,,,,,,,,,,,,REG
28,Normandie,1040.6342914,3305.0847458,743.98249453,2020,,,,,,,,,,,,,,5.971428571428571,9.397142857142857,100.0,5.0,,REG
27,Bourgogne et Franche-Comté,989.39929329,2212.3893805,168.77637131,2020,,,,,,,,,,,,,,5.585714285714286,8.65,75.0,4.0,,REG
11,Île-de-France,587.02368692,1335.504886,288.24833703,2020,,,,,,,,,,,,,,8.592857142857143,12.178571428571429,87.5,4.0,,REG
75,Nouvelle Aquitaine,953.42066958,2390.438247,635.29411765,2020,,,,,,,,,,,,,,6.8,9.864285714285714,75.0,4.0,,REG
53,Bretagne,783.87458007,1940.2985075,469.79865772,2020,,,,,,,,,,,,,,6.685714285714286,9.664285714285716,87.5,4.0,,REG
84,Auvergne et Rhône-Alpes,996.41577061,2771.3625866,408.16326531,2020,,,,,,,,,,,,,,3.114285714285714,9.171428571428573,50.0,2.0,,REG
76,Occitanie,993.75354912,2896.5517241,401.45985401,2020,,,,,,,,,,,,,,5.994285714285715,8.551428571428572,62.5,3.0,,REG
93,Provence-Alpes-Côte d'Azur,740.74074074,1792.2077922,384.61538462,2020,,,,,,,,,,,,,,6.757142857142857,9.757142857142856,75.0,4.0,,REG
6,Mayotte,2922.3744292,4615.3846154,,2020,,,,,,,,,,,,,,,,,,,REG
1,Guadeloupe,620.15503876,1333.3333333,,2020,,,,,,,,,,,,,,,,,,,REG
4,Réunion,1719.2982456,3188.4057971,,2020,,,,,,,,,,,,,,,,,,,REG
24,Centre-Val de Loire,960.36585366,2258.0645161,376.56903766,2020,,,,,,,,,,,,,,5.471428571428571,10.320000000000002,75.0,4.0,,REG
3,Guyane,680.85106383,1428.5714286,,2020,,,,,,,,,,,,,,,,,,,REG
52,Pays de la Loire,1284.8484848,2137.4045802,390.24390244,2020,,,,,,,,,,,,,,4.328571428571428,7.319999999999999,75.0,4.0,,REG
76,Occitanie,861.8504436,2095.5882353,511.81102362,2020,,,,,,,,,,,,,,5.8585714285714285,8.30857142857143,75.0,4.0,,REG
44,Grand Est,973.40425532,2155.6886228,568.96551724,2020,,,,,,,,,,,,,,7.1814285714285715,9.592857142857143,87.5,4.0,,REG
32,Hauts-de-France,663.92177046,1490.3846154,407.70101925,2020,,,,,,,,,,,,,,1.5,8.0,25.0,1.0,,REG
2,Martinique,,,645.16129032,2020,,,,,,,,,,,,,,,,,,,REG
93,Provence-Alpes-Côte d'Azur,635.20871143,1732.9545455,416.66666667,2020,,,,,,,,,,,,,,5.857142857142857,8.892857142857142,75.0,4.0,,REG
11,Île-de-France,610.21445943,1397.8494624,244.51939292,2020,,,,,,,,,,,,,,6.692857142857143,11.428571428571429,50.0,2.0,,REG
84,Auvergne et Rhône-Alpes,923.47314202,2433.0900243,396.19651347,2020,,,,,,,,,,,,,,3.647142857142857,10.10142857142857,50.0,2.0,,REG
24,Centre-Val de Loire,1159.4202899,2446.8085106,526.31578947,2020,,,,,,,,,,,,,,1.6,7.880000000000001,37.5,2.0,,REG
52,Pays de la Loire,864.36170213,1692.3076923,349.46236559,2020,,,,,,,,,,,,,,4.221428571428571,7.094285714285715,75.0,4.0,,REG
4,Réunion,2048.9296636,3974.3589744,,2020,,,,,,,,,,,,,,,,,,,REG
53,Bretagne,785.39823009,1931.0344828,310.34482759,2020,,,,,,,,,,,,,,5.171428571428572,8.442857142857143,75.0,4.0,,REG
28,Normandie,1124.1446725,2481.2030075,598.66962306,2020,,,,,,,,,,,,,,4.264285714285714,7.864285714285714,75.0,4.0,,REG
3,Guyane,270.27027027,1304.3478261,,2020,,,,,,,,,,,,,,,,,,,REG
6,Mayotte,2659.5744681,4482.7586207,,2020,,,,,,,,,,,,,,,,,,,REG
1,Guadeloupe,846.15384615,2666.6666667,,2020,,,,,,,,,,,,,,,,,,,REG
75,Nouvelle Aquitaine,751.24025514,2182.5396825,414.33370661,2020,,,,,,,,,,,,,,6.1000000000000005,9.085714285714284,75.0,4.0,,REG
94,Corse,821.91780822,1000.0,0.0,2020,,,,,,,,,,,,,,5.257142857142857,8.485714285714286,75.0,4.0,,REG
27,Bourgogne et Franche-Comté,884.27947598,2582.781457,256.41025641,2020,,,,,,,,,,,,,,4.557142857142857,8.042857142857143,75.0,4.0,,REG
3,Guyane,259.06735751,1250.0,,2020,,,,,,,,,,,,,,,,,,,REG
84,Auvergne et Rhône-Alpes,738.59242073,2152.5885559,345.3689168,2020,,,,,,,,,,,,,,3.262857142857143,9.302857142857144,75.0,4.0,,REG
76,Occitanie,836.41746854,2355.5555556,553.63321799,2020,,,,,,,,,,,,,,4.448571428571428,7.168571428571428,62.5,3.0,,REG
24,Centre-Val de Loire,961.53846154,2159.0909091,483.09178744,2020,,,,,,,,,,,,,,4.764285714285714,9.21,87.5,4.0,,REG
75,Nouvelle Aquitaine,684.61538462,1564.8854962,425.05592841,2020,,,,,,,,,,,,,,5.0,8.1,62.5,3.0,,REG
52,Pays de la Loire,912.75167785,2137.4045802,469.20821114,2020,,,,,,,,,,,,,,3.642857142857143,6.821428571428571,75.0,4.0,,REG
94,Corse,579.71014493,2500.0,0.0,2020,,,,,,,,,,,,,,4.457142857142857,7.721428571428571,75.0,4.0,,REG
93,Provence-Alpes-Côte d'Azur,645.66115702,1533.5463259,382.88288288,2020,,,,,,,,,,,,,,4.214285714285714,7.642857142857143,62.5,3.0,,REG
4,Réunion,2364.6723647,4777.7777778,,2020,,,,,,,,,,,,,,,,,,,REG
27,Bourgogne et Franche-Comté,990.0990099,2500.0,539.21568627,2020,,,,,,,,,,,,,,3.6000000000000005,6.942857142857143,62.5,3.0,,REG
1,Guadeloupe,1068.7022901,3076.9230769,,2020,,,,,,,,,,,,,,,,,,,REG
28,Normandie,722.63549416,2340.4255319,658.82352941,2020,,,,,,,,,,,,,,3.5,7.28,81.25,4.0,,REG
2,Martinique,,,0.0,2020,,,,,,,,,,,,,,,,,,,REG
44,Grand Est,810.64730792,2012.7795527,334.50704225,2020,,,,,,,,,,,,,,7.241428571428572,9.441428571428572,100.0,5.0,,REG
11,Île-de-France,528.34060015,1338.7423935,270.49180328,2020,,,,,,,,,,,,,,7.885714285714286,12.142857142857142,87.5,4.0,,REG
53,Bretagne,557.14285714,967.74193548,501.93050193,2020,,,,,,,,,,,,,,4.828571428571428,8.028571428571428,75.0,4.0,,REG
32,Hauts-de-France,577.24957555,1088.7096774,280.6122449,2020,,,,,,,,,,,,,,5.628571428571428,10.414285714285716,100.0,5.0,,REG
6,Mayotte,2472.5274725,4242.4242424,,2020,,,,,,,,,,,,,,,,,,,REG
2,Martinique,,,303.03030303,2020,,,,,,,,,,,,,,,,,,,REG
75,Nouvelle Aquitaine,675.06750675,1583.7104072,485.4368932,2020,,,,,,,,,,,,,,4.785714285714286,7.635714285714286,37.5,2.0,,REG
4,Réunion,2316.3841808,4216.8674699,,2020,,,,,,,,,,,,,,,,,,,REG
93,Provence-Alpes-Côte d'Azur,648.08813999,1521.7391304,335.42976939,2020,,,,,,,,,,,,,,3.914285714285714,7.192857142857143,62.5,3.0,,REG
53,Bretagne,562.70096463,1410.2564103,382.77511962,2020,,,,,,,,,,,,,,3.914285714285714,7.642857142857143,37.5,2.0,,REG
94,Corse,1000.0,2222.2222222,0.0,2020,,,,,,,,,,,,,,4.242857142857143,7.3,62.5,3.0,,REG
52,Pays de la Loire,1010.2739726,1142.8571429,511.18210863,2020,,,,,,,,,,,,,,2.3214285714285716,5.527142857142857,50.0,2.0,,REG
11,Île-de-France,497.34562727,1078.4313725,258.54879066,2020,,,,,,,,,,,,,,6.814285714285715,10.107142857142858,12.5,1.0,,REG
44,Grand Est,619.15046796,1505.7915058,384.61538462,2020,,,,,,,,,,,,,,6.701428571428572,9.31,50.0,2.0,,REG
1,Guadeloupe,919.54022989,2000.0,,2020,,,,,,,,,,,,,,,,,,,REG
24,Centre-Val de Loire,631.57894737,2033.8983051,482.75862069,2020,,,,,,,,,,,,,,4.8500000000000005,8.247142857142856,75.0,4.0,,REG
32,Hauts-de-France,441.79523142,1032.8638498,248.90190337,2020,,,,,,,,,,,,,,5.957142857142857,9.471428571428572,75.0,4.0,,REG
84,Auvergne et Rhône-Alpes,876.69948429,2167.1018277,363.03630363,2020,,,,,,,,,,,,,,5.132857142857143,9.457142857142856,87.5,4.0,,REG
76,Occitanie,730.92369478,1844.6601942,462.63345196,2020,,,,,,,,,,,,,,5.125714285714286,7.55,75.0,4.0,,REG
28,Normandie,635.11830635,1428.5714286,512.82051282,2020,,,,,,,,,,,,,,3.0285714285714285,6.962857142857142,62.5,3.0,,REG
6,Mayotte,2181.8181818,4444.4444444,,2020,,,,,,,,,,,,,,,,,,,REG
27,Bourgogne et Franche-Comté,942.02898551,1946.9026549,434.7826087,2020,,,,,,,,,,,,,,3.3285714285714287,6.835714285714286,50.0,2.0,,REG
3,Guyane,472.10300429,1666.6666667,,2020,,,,,,,,,,,,,,,,,,,REG
52,Pays de la Loire,784.67153285,1495.3271028,490.56603774,2020,,,,,,,,,,,,,,5.492857142857143,8.879999999999999,87.5,4.0,,REG
1,Guadeloupe,330.5785124,526.31578947,,2020,,,,,,,,,,,,,,,,,,,REG
6,Mayotte,1804.5112782,3913.0434783,,2020,,,,,,,,,,,,,,,,,,,REG
76,Occitanie,791.83673469,1702.1276596,305.08474576,2020,,,,,,,,,,,,,,6.984285714285714,9.554285714285712,75.0,4.0,,REG
11,Île-de-France,678.21067821,1216.8141593,300.09680542,2020,,,,,,,,,,,,,,8.342857142857143,12.152857142857142,62.5,3.0,,REG
28,Normandie,604.5949214,1818.1818182,469.61325967,2020,,,,,,,,,,,,,,5.892857142857143,10.04,87.5,4.0,,REG
93,Provence-Alpes-Côte d'Azur,569.70509383,1021.8978102,307.10172745,2020,,,,,,,,,,,,,,7.528571428571429,10.864285714285714,87.5,4.0,,REG
4,Réunion,2572.1153846,4563.1067961,,2020,,,,,,,,,,,,,,,,,,,REG
75,Nouvelle Aquitaine,412.47484909,1055.2763819,355.61877667,2020,,,,,,,,,,,,,,7.642857142857143,11.007142857142856,75.0,4.0,,REG
94,Corse,333.33333333,909.09090909,370.37037037,2020,,,,,,,,,,,,,,7.085714285714286,10.678571428571429,87.5,4.0,,REG
53,Bretagne,576.27118644,1827.9569892,381.3559322,2020,,,,,,,,,,,,,,6.742857142857142,10.05,75.0,4.0,,REG
24,Centre-Val de Loire,940.59405941,2692.3076923,467.83625731,2020,,,,,,,,,,,,,,4.0,9.571428571428571,37.5,2.0,,REG
84,Auvergne et Rhône-Alpes,635.28077141,1517.2413793,239.85239852,2020,,,,,,,,,,,,,,6.112857142857143,12.071428571428571,87.5,4.0,,REG
3,Guyane,250.0,1000.0,,2020,,,,,,,,,,,,,,,,,,,REG
27,Bourgogne et Franche-Comté,711.29707113,1595.7446809,506.32911392,2020,,,,,,,,,,,,,,6.628571428571428,10.014285714285714,87.5,4.0,,REG
2,Martinique,,,285.71428571,2020,,,,,,,,,,,,,,,,,,,REG
44,Grand Est,755.20833333,1531.9148936,462.96296296,2020,,,,,,,,,,,,,,8.4,10.625714285714285,75.0,4.0,,REG
32,Hauts-de-France,598.2324949,1428.5714286,346.740638,2020,,,,,,,,,,,,,,4.885714285714285,9.914285714285716,62.5,3.0,,REG
44,Grand Est,727.532097,1520.4678363,734.46327684,2020,,,,,,,,,,,,,,7.538571428571429,11.167142857142858,62.5,3.0,,REG
76,Occitanie,1040.8432148,1823.8993711,512.82051282,2020,,,,,,,,,,,,,,4.807142857142857,8.337142857142856,37.5,2.0,,REG
93,Provence-Alpes-Côte d'Azur,734.14905451,1134.0206186,248.30699774,2020,,,,,,,,,,,,,,6.642857142857143,10.392857142857142,75.0,4.0,,REG
24,Centre-Val de Loire,797.34219269,652.17391304,347.82608696,2020,,,,,,,,,,,,,,4.521428571428571,12.285714285714286,62.5,3.0,,REG
2,Martinique,,,277.77777778,2020,,,,,,,,,,,,,,,,,,,REG
94,Corse,454.54545455,1111.1111111,555.55555556,2020,,,,,,,,,,,,,,7.8,11.37857142857143,87.5,4.0,,REG
3,Guyane,375.93984962,1000.0,,2020,,,,,,,,,,,,,,,,,,,REG
