geo_code,geo_name,date_monday,year_iso,week_iso_num,taux_passages_urgences,MNP_score,tmean,workplaces,retail_and_recreation,couv_complet
76,Occitanie,2020-12-07,2020,50,386.53366584,,6.035714285714286,-20.428571428571427,-27.285714285714285,
76,Occitanie,2020-12-14,2020,51,324.38478747,,9.821428571428571,-19.428571428571427,-24.428571428571427,
76,Occitanie,2020-12-21,2020,52,350.51546392,,8.402857142857142,-46.714285714285715,-32.142857142857146,
76,Occitanie,2020-12-28,2020,53,221.36669875,,3.4271428571428575,-52.57142857142857,-38.714285714285715,
76,Occitanie,2021-01-04,2021,1,313.54983203,,2.3114285714285714,-21.0,-36.285714285714285,0.0
76,Occitanie,2021-01-11,2021,2,269.43005181,,5.785714285714286,-22.0,-39.57142857142857,0.0001462346269558
76,Occitanie,2021-01-18,2021,3,263.85224274,,5.797142857142857,-22.285714285714285,-39.857142857142854,0.0012026466799503
76,Occitanie,2021-01-25,2021,4,414.04140414,,6.855714285714285,-22.142857142857142,-38.42857142857143,0.0028202392341477
76,Occitanie,2021-02-01,2021,5,550.0381971,,7.555714285714286,-21.857142857142858,-40.285714285714285,0.0220797901871122
76,Occitanie,2021-02-08,2021,6,539.35860058,,-1.6414285714285717,-21.428571428571427,-36.714285714285715,0.0982508267573301
76,Occitanie,2021-02-15,2021,7,618.26024443,,9.718571428571428,-32.0,-38.42857142857143,0.2382936256429334
76,Occitanie,2021-02-22,2021,8,786.43578644,,9.75,-32.285714285714285,-36.857142857142854,0.412165368230981
76,Occitanie,2021-03-01,2021,9,650.79365079,,6.4471428571428575,-18.714285714285715,-34.714285714285715,0.5527926960036038
76,Occitanie,2021-03-08,2021,10,864.10635155,,6.574285714285715,-18.857142857142858,-35.57142857142857,0.6726440566076027
76,Occitanie,2021-03-15,2021,11,1072.1793973,,6.871428571428572,-17.857142857142858,-36.285714285714285,0.7802035161312375
76,Occitanie,2021-03-22,2021,12,1247.7504499,,8.412857142857144,-17.142857142857142,-34.42857142857143,0.8544616235477197
76,Occitanie,2021-03-29,2021,13,1337.543054,,11.707142857142856,-17.0,-29.714285714285715,0.9447649874697652
76,Occitanie,2021-04-05,2021,14,1274.0384615,,6.091428571428572,-37.57142857142857,-48.0,1.1170035719130709
76,Occitanie,2021-04-12,2021,15,1175.1824818,,5.988571428571428,-30.571428571428573,-41.57142857142857,1.3335070092771772
76,Occitanie,2021-04-19,2021,16,770.49180328,,9.904285714285717,-32.57142857142857,-41.285714285714285,1.6269552569098753
76,Occitanie,2021-04-26,2021,17,642.20183486,,8.094285714285714,-30.285714285714285,-44.0,1.9843289271832565
76,Occitanie,2021-05-03,2021,18,435.55555556,,11.107142857142858,-19.428571428571427,-34.142857142857146,2.368623286303032
76,Occitanie,2021-05-10,2021,19,676.10062893,,11.791428571428572,-32.857142857142854,-33.714285714285715,2.8307455981443876
76,Occitanie,2021-05-17,2021,20,594.05940594,,11.932857142857143,-12.714285714285714,-12.285714285714286,3.242655362993798
76,Occitanie,2021-05-24,2021,21,578.0730897,,13.04,-16.0,-7.142857142857143,3.604672085078228
76,Occitanie,2021-05-31,2021,22,576.92307692,,16.134285714285713,-6.285714285714286,-5.857142857142857,4.040023629287379
76,Occitanie,2021-06-07,2021,23,573.7704918,,15.957142857142856,-6.857142857142857,0.0,4.628595883261112
76,Occitanie,2021-06-14,2021,24,637.84549965,,18.75428571428571,-7.285714285714286,-0.5714285714285714,5.288809177335863
76,Occitanie,2021-06-21,2021,25,529.88293284,,15.698571428571428,-8.285714285714286,2.0,6.114296273326946
76,Occitanie,2021-06-28,2021,26,754.06032483,,16.837142857142858,-9.428571428571429,8.285714285714286,7.098064124871925
76,Occitanie,2021-07-05,2021,27,689.23076923,,16.47142857142857,-12.142857142857142,16.0,8.13888273310745
76,Occitanie,2021-07-12,2021,28,767.51946607,,17.731428571428573,-25.285714285714285,19.0,9.110251362921469
76,Occitanie,2021-07-19,2021,29,739.66220151,,20.87857142857143,-16.571428571428573,18.714285714285715,10.066197769472502
76,Occitanie,2021-07-26,2021,30,500.60313631,,17.382857142857144,-18.285714285714285,23.714285714285715,11.005215777064985
76,Occitanie,2021-08-02,2021,31,481.0298103,,16.76,-24.857142857142858,34.0,11.71659070953408
76,Occitanie,2021-08-09,2021,32,261.16838488,,17.607142857142858,-29.0,27.0,12.285526561415354
76,Occitanie,2021-08-16,2021,33,247.56189047,,17.155714285714286,-26.857142857142858,25.428571428571427,12.886219904594268
76,Occitanie,2021-08-23,2021,34,228.19885901,,17.024285714285714,-18.714285714285715,17.142857142857142,13.593179944040031
76,Occitanie,2021-08-30,2021,35,358.03497086,,18.22714285714286,-11.857142857142858,11.142857142857142,14.34425122860517
76,Occitanie,2021-09-06,2021,36,271.69811321,,20.244285714285716,-9.571428571428571,10.0,14.949034635510005
76,Occitanie,2021-09-13,2021,37,383.58008075,,18.05857142857143,-11.428571428571429,4.0,15.340358497243754
76,Occitanie,2021-09-20,2021,38,535.26448363,,15.80714285714286,-6.857142857142857,1.1428571428571428,15.63104876800448
76,Occitanie,2021-09-27,2021,39,640.2266289,,14.12,-7.714285714285714,-2.7142857142857144,15.86162472808306
76,Occitanie,2021-10-04,2021,40,890.82020641,,13.627142857142855,-8.142857142857142,0.2857142857142857,16.034399096537733
76,Occitanie,2021-10-11,2021,41,1096.807415,,12.355714285714283,-7.142857142857143,-1.2857142857142858,16.174517265651236
76,Occitanie,2021-10-18,2021,42,1122.9946524,,12.837142857142856,-7.285714285714286,-3.4285714285714284,16.285053849176872
76,Occitanie,2021-10-25,2021,43,1189.258312,,13.081428571428573,-18.428571428571427,2.0,16.379106062695275
76,Occitanie,2021-11-01,2021,44,1366.5743306,,9.411428571428573,-27.428571428571427,-5.142857142857143,16.453715215140612
76,Occitanie,2021-11-08,2021,45,1253.3333333,,10.052857142857144,-22.428571428571427,-6.857142857142857,16.518370582053663
76,Occitanie,2021-11-15,2021,46,1493.902439,,9.34,-7.428571428571429,-6.857142857142857,16.578434509376944
76,Occitanie,2021-11-22,2021,47,1886.214442,,5.741428571428571,-8.0,-7.428571428571429,16.64039498102181
76,Occitanie,2021-11-29,2021,48,2085.3658537,,6.701428571428572,-7.714285714285714,-3.4285714285714284,16.694355558368503
76,Occitanie,2021-12-06,2021,49,1834.1708543,,7.057142857142857,-5.285714285714286,0.2857142857142857,16.74370544394765
