geo_code,geo_name,season,start,peak_date,end,peak_week,amplitude,duration_weeks,cumul
75,Nouvelle Aquitaine,2023/2024,2023-09-04,2023-11-27,2024-06-10,48,2637.30110272,40.0,41516.73238853
75,Nouvelle Aquitaine,2024/2025,2024-09-09,2024-12-09,2025-06-16,50,1767.5230531860002,40.0,30538.03067429
75,Nouvelle Aquitaine,2025/2026,2025-06-30,2025-06-30,2025-07-28,27,144.81814972,4.0,1049.00382285
76,Occitanie,2019/2020,2019-12-30,2019-12-30,2020-05-11,1,2138.490642069,19.0,16133.461432725002
76,Occitanie,2020/2021,2020-09-07,2021-03-29,2021-06-28,13,1308.015494945,42.0,26219.033844954
76,Occitanie,2021/2022,2021-07-05,2021-11-29,2022-04-25,48,1872.59989625,42.0,37889.277386589994
76,Occitanie,2022/2023,2022-09-12,2022-11-28,2023-06-26,48,2666.2276677600003,41.0,44501.35732227999
76,Occitanie,2023/2024,2023-09-04,2023-11-27,2024-06-03,48,2145.187665,39.0,39405.074833310005
76,Occitanie,2024/2025,2024-09-16,2024-12-16,2025-06-16,51,1551.15047829,39.0,30211.01529442
76,Occitanie,2025/2026,2025-06-30,2025-07-28,2025-07-28,31,90.97453229000001,4.0,993.5562828500001
84,Auvergne et Rhône-Alpes,2019/2020,2019-12-30,2019-12-30,2020-04-20,1,2100.6686199314,16.0,15523.4077236871
84,Auvergne et Rhône-Alpes,2020/2021,2020-09-07,2021-03-29,2021-06-28,13,1190.436331743,42.0,25050.900674917
84,Auvergne et Rhône-Alpes,2021/2022,2021-07-05,2021-11-29,2022-04-25,48,1977.60616123,42.0,36554.416056530004
84,Auvergne et Rhône-Alpes,2022/2023,2022-09-12,2022-11-21,2023-06-12,47,3077.865191841,39.0,45320.154203508995
84,Auvergne et Rhône-Alpes,2023/2024,2023-09-11,2023-12-04,2024-06-17,49,2580.92693822,40.0,38747.272689
84,Auvergne et Rhône-Alpes,2024/2025,2024-09-09,2024-12-09,2025-06-16,50,1485.1894181060002,40.0,29468.539959186997
84,Auvergne et Rhône-Alpes,2025/2026,2025-06-30,2025-07-14,2025-07-28,29,117.71257611,4.0,1028.99577987
93,Provence-Alpes-Côte d'Azur,2019/2020,2019-12-30,2019-12-30,2020-04-20,1,1927.8510473,16.0,13118.143823755001
93,Provence-Alpes-Côte d'Azur,2020/2021,2020-09-07,2021-03-29,2021-06-28,13,1546.563871539,42.0,23691.557062936005
93,Provence-Alpes-Côte d'Azur,2021/2022,2021-07-05,2021-11-29,2022-04-25,48,2115.3123096,42.0,32409.76256259
93,Provence-Alpes-Côte d'Azur,2022/2023,2022-09-12,2022-11-28,2023-06-19,48,3076.605944075,40.0,40668.528612295
93,Provence-Alpes-Côte d'Azur,2023/2024,2023-09-11,2023-12-04,2024-06-10,49,2429.29033948,39.0,35439.318483079995
93,Provence-Alpes-Côte d'Azur,2024/2025,2024-09-09,2024-12-09,2025-06-02,50,2001.7348020299999,38.0,29133.515284669997
93,Provence-Alpes-Côte d'Azur,2025/2026,2025-06-30,2025-07-07,2025-07-28,28,64.07244741,4.0,888.32390893
94,Corse,2019/2020,2019-12-30,2020-01-27,2020-06-22,5,1460.6741573,25.0,9433.572323690001
94,Corse,2020/2021,2020-06-29,2021-03-08,2021-06-28,10,1590.9090909,52.0,12181.503580949999
94,Corse,2021/2022,2021-07-05,2021-11-01,2022-06-27,44,1855.6701031,51.0,24883.345904880996
94,Corse,2022/2023,2022-09-12,2022-12-12,2023-06-05,50,2189.3491124,38.0,30822.872908414
94,Corse,2023/2024,2023-08-28,2023-12-18,2024-05-20,51,2089.5522388,38.0,26036.820483596002
94,Corse,2024/2025,2024-09-23,2025-03-31,2025-05-26,14,1269.8412698,35.0,22780.525953710003
94,Corse,2025/2026,2025-06-30,2025-07-07,2025-08-04,28,151.51515152,5.0,491.20515501
