geo_level,geo_code,geo_name,date_monday,indicator,value,year_iso,week_iso_num
FR,FR,France,2020-08-17,workplaces,-33.239560439560435,2020,34
FR,FR,France,2020-08-24,grocery and pharmacy,5.917582417582418,2020,35
FR,FR,France,2020-08-24,parks,116.66190476190475,2020,35
FR,FR,France,2020-08-24,residential,4.241758241758242,2020,35
FR,FR,France,2020-08-24,retail and recreation,-4.440476190476191,2020,35
FR,FR,France,2020-08-24,transit stations,-1.511904761904762,2020,35
FR,FR,France,2020-08-24,workplaces,-26.501098901098903,2020,35
FR,FR,France,2020-08-31,grocery and pharmacy,7.802197802197802,2020,36
FR,FR,France,2020-08-31,parks,88.89285714285715,2020,36
FR,FR,France,2020-08-31,residential,2.2857142857142856,2020,36
FR,FR,France,2020-08-31,retail and recreation,-4.154761904761905,2020,36
FR,FR,France,2020-08-31,transit stations,-1.4642857142857142,2020,36
FR,FR,France,2020-08-31,workplaces,-20.824175824175825,2020,36
FR,FR,France,2020-09-07,grocery and pharmacy,5.912087912087912,2020,37
FR,FR,France,2020-09-07,parks,122.4139194139194,2020,37
FR,FR,France,2020-09-07,residential,-0.06593406593406592,2020,37
FR,FR,France,2020-09-07,retail and recreation,-0.22710622710622794,2020,37
FR,FR,France,2020-09-07,transit stations,13.97069597069597,2020,37
FR,FR,France,2020-09-07,workplaces,-18.21978021978022,2020,37
FR,FR,France,2020-09-14,grocery and pharmacy,1.5604395604395604,2020,38
FR,FR,France,2020-09-14,parks,109.0989010989011,2020,38
FR,FR,France,2020-09-14,residential,0.6043956043956044,2020,38
FR,FR,France,2020-09-14,retail and recreation,-5.318681318681318,2020,38
FR,FR,France,2020-09-14,transit stations,6.131868131868131,2020,38
FR,FR,France,2020-09-14,workplaces,-14.263736263736263,2020,38
FR,FR,France,2020-09-21,grocery and pharmacy,-1.4395604395604396,2020,39
FR,FR,France,2020-09-21,parks,54.4065934065934,2020,39
FR,FR,France,2020-09-21,residential,2.7362637362637363,2020,39
FR,FR,France,2020-09-21,retail and recreation,-11.736263736263735,2020,39
FR,FR,France,2020-09-21,transit stations,-1.0659340659340661,2020,39
FR,FR,France,2020-09-21,workplaces,-13.274725274725276,2020,39
FR,FR,France,2020-09-28,grocery and pharmacy,-0.1428571428571429,2020,40
FR,FR,France,2020-09-28,parks,27.307692307692307,2020,40
FR,FR,France,2020-09-28,residential,2.813186813186813,2020,40
FR,FR,France,2020-09-28,retail and recreation,-12.681318681318682,2020,40
FR,FR,France,2020-09-28,transit stations,-4.593406593406593,2020,40
FR,FR,France,2020-09-28,workplaces,-11.505494505494504,2020,40
FR,FR,France,2020-10-05,grocery and pharmacy,-0.5384615384615384,2020,41
FR,FR,France,2020-10-05,parks,27.175824175824175,2020,41
FR,FR,France,2020-10-05,residential,2.4065934065934065,2020,41
FR,FR,France,2020-10-05,retail and recreation,-12.34065934065934,2020,41
FR,FR,France,2020-10-05,transit stations,-4.956043956043956,2020,41
FR,FR,France,2020-10-05,workplaces,-10.76923076923077,2020,41
FR,FR,France,2020-10-12,grocery and pharmacy,0.3296703296703296,2020,42
FR,FR,France,2020-10-12,parks,29.13186813186813,2020,42
FR,FR,France,2020-10-12,residential,3.142857142857143,2020,42
FR,FR,France,2020-10-12,retail and recreation,-13.923076923076923,2020,42
FR,FR,France,2020-10-12,transit stations,-3.2967032967032965,2020,42
FR,FR,France,2020-10-12,workplaces,-11.186813186813186,2020,42
FR,FR,France,2020-10-19,grocery and pharmacy,0.5384615384615384,2020,43
FR,FR,France,2020-10-19,parks,43.35164835164835,2020,43
FR,FR,France,2020-10-19,residential,5.923076923076923,2020,43
FR,FR,France,2020-10-19,retail and recreation,-13.923076923076923,2020,43
FR,FR,France,2020-10-19,transit stations,-9.263736263736263,2020,43
FR,FR,France,2020-10-19,workplaces,-23.747252747252748,2020,43
FR,FR,France,2020-10-26,grocery and pharmacy,-3.4285714285714284,2020,44
FR,FR,France,2020-10-26,parks,9.79120879120879,2020,44
FR,FR,France,2020-10-26,residential,10.296703296703297,2020,44
FR,FR,France,2020-10-26,retail and recreation,-29.12087912087912,2020,44
FR,FR,France,2020-10-26,transit stations,-25.0,2020,44
FR,FR,France,2020-10-26,workplaces,-33.362637362637365,2020,44
FR,FR,France,2020-11-02,grocery and pharmacy,-16.032967032967033,2020,45
FR,FR,France,2020-11-02,parks,-23.340659340659343,2020,45
FR,FR,France,2020-11-02,residential,13.681318681318682,2020,45
FR,FR,France,2020-11-02,retail and recreation,-55.26373626373626,2020,45
FR,FR,France,2020-11-02,transit stations,-44.98901098901099,2020,45
FR,FR,France,2020-11-02,workplaces,-28.527472527472526,2020,45
FR,FR,France,2020-11-09,grocery and pharmacy,-17.626373626373628,2020,46
FR,FR,France,2020-11-09,parks,-22.725274725274726,2020,46
FR,FR,France,2020-11-09,residential,15.824175824175825,2020,46
FR,FR,France,2020-11-09,retail and recreation,-57.01098901098901,2020,46
FR,FR,France,2020-11-09,transit stations,-49.17582417582418,2020,46
FR,FR,France,2020-11-09,workplaces,-37.13186813186813,2020,46
FR,FR,France,2020-11-16,grocery and pharmacy,-13.703296703296703,2020,47
FR,FR,France,2020-11-16,parks,-21.10989010989011,2020,47
